step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1211e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4340e+00
10 1.3333e-01 -8.0762e+00 1.2451e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3750e+00
20 2.6667e-01 -7.8201e+00 1.1563e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7434e+00
30 4.0000e-01 -7.8488e+00 1.1324e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4754e+00
40 5.3333e-01 -7.8407e+00 1.1050e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2090e+00
50 6.6667e-01 -7.8322e+00 1.0721e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8891e+00
60 8.0000e-01 -7.8358e+00 1.0486e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6500e+00
70 9.3333e-01 -7.8298e+00 1.0244e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4142e+00
80 1.0667e+00 -7.8276e+00 1.0037e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2095e+00
90 1.2000e+00 -7.8240e+00 9.8484e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0244e+00
100 1.3333e+00 -7.8205e+00 9.6770e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8566e+00
110 1.4667e+00 -7.8170e+00 9.5223e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7054e+00
120 1.6000e+00 -7.8132e+00 9.3813e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5681e+00
130 1.7333e+00 -7.8095e+00 9.2531e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4436e+00
140 1.8667e+00 -7.8057e+00 9.1361e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3303e+00
150 2.0000e+00 -7.8021e+00 9.0292e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2271e+00
160 2.1333e+00 -7.7986e+00 8.9315e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1328e+00
170 2.2667e+00 -7.7954e+00 8.8418e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0464e+00
180 2.4000e+00 -7.7924e+00 8.7597e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.6729e-01
190 2.5333e+00 -7.7897e+00 8.6843e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9462e-01
200 2.6667e+00 -7.7871e+00 8.6150e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2792e-01
