step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1211e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4344e+00
10 1.3333e-01 -8.0763e+00 1.2452e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3756e+00
20 2.6667e-01 -7.8199e+00 1.1562e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7420e+00
30 4.0000e-01 -7.8490e+00 1.1325e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4757e+00
40 5.3333e-01 -7.8407e+00 1.1049e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2088e+00
50 6.6667e-01 -7.8323e+00 1.0721e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8889e+00
60 8.0000e-01 -7.8358e+00 1.0486e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6499e+00
70 9.3333e-01 -7.8298e+00 1.0244e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4140e+00
80 1.0667e+00 -7.8276e+00 1.0037e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2095e+00
90 1.2000e+00 -7.8240e+00 9.8484e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0244e+00
100 1.3333e+00 -7.8205e+00 9.6770e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8565e+00
110 1.4667e+00 -7.8170e+00 9.5223e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7053e+00
120 1.6000e+00 -7.8132e+00 9.3812e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5680e+00
130 1.7333e+00 -7.8095e+00 9.2530e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4435e+00
140 1.8667e+00 -7.8058e+00 9.1360e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3303e+00
150 2.0000e+00 -7.8021e+00 9.0292e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2271e+00
160 2.1333e+00 -7.7986e+00 8.9314e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1328e+00
170 2.2667e+00 -7.7954e+00 8.8418e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0464e+00
180 2.4000e+00 -7.7924e+00 8.7597e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.6726e-01
190 2.5333e+00 -7.7897e+00 8.6843e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9459e-01
200 2.6667e+00 -7.7871e+00 8.6150e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2789e-01
