step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1113e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3364e+00
10 1.3333e-01 -7.5698e+00 1.1252e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6826e+00
20 2.6667e-01 -7.7369e+00 9.6224e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8855e+00
30 4.0000e-01 -7.8643e+00 9.3267e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4624e+00
40 5.3333e-01 -7.7774e+00 9.1110e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3336e+00
50 6.6667e-01 -7.7935e+00 8.5793e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8580e-01
60 8.0000e-01 -7.7995e+00 8.4073e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0782e-01
70 9.3333e-01 -7.7768e+00 8.2626e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8574e-01
80 1.0667e+00 -7.7827e+00 8.0899e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0719e-01
90 1.2000e+00 -7.7842e+00 8.0128e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2858e-01
100 1.3333e+00 -7.7795e+00 7.9506e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7112e-01
110 1.4667e+00 -7.7816e+00 7.8929e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1135e-01
120 1.6000e+00 -7.7819e+00 7.8615e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9681e-02
130 1.7333e+00 -7.7803e+00 7.8371e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6849e-02
140 1.8667e+00 -7.7797e+00 7.8169e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7200e-02
150 2.0000e+00 -7.7787e+00 7.8044e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5730e-02
160 2.1333e+00 -7.7772e+00 7.7946e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7431e-02
170 2.2667e+00 -7.7757e+00 7.7863e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0627e-02
180 2.4000e+00 -7.7738e+00 7.7801e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3241e-03
190 2.5333e+00 -7.7718e+00 7.7752e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4300e-03
200 2.6667e+00 -7.7703e+00 7.7713e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0533e-03
