step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1113e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3364e+00
10 1.3333e-01 -7.5691e+00 1.1249e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6801e+00
20 2.6667e-01 -7.7387e+00 9.6211e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8824e+00
30 4.0000e-01 -7.8634e+00 9.3351e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4718e+00
40 5.3333e-01 -7.7767e+00 9.1078e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3311e+00
50 6.6667e-01 -7.7947e+00 8.5786e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8385e-01
60 8.0000e-01 -7.7988e+00 8.4113e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1247e-01
70 9.3333e-01 -7.7766e+00 8.2614e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8482e-01
80 1.0667e+00 -7.7831e+00 8.0901e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0693e-01
90 1.2000e+00 -7.7840e+00 8.0143e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3027e-01
100 1.3333e+00 -7.7794e+00 7.9504e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7100e-01
110 1.4667e+00 -7.7817e+00 7.8931e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1139e-01
120 1.6000e+00 -7.7818e+00 7.8619e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0145e-02
130 1.7333e+00 -7.7803e+00 7.8371e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6854e-02
140 1.8667e+00 -7.7797e+00 7.8170e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7223e-02
150 2.0000e+00 -7.7787e+00 7.8045e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5827e-02
160 2.1333e+00 -7.7772e+00 7.7946e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7432e-02
170 2.2667e+00 -7.7757e+00 7.7863e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0628e-02
180 2.4000e+00 -7.7738e+00 7.7801e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3395e-03
190 2.5333e+00 -7.7718e+00 7.7752e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4278e-03
200 2.6667e+00 -7.7703e+00 7.7713e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0453e-03
