step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1113e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3364e+00
10 1.3333e-01 -7.5699e+00 1.1253e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6826e+00
20 2.6667e-01 -7.7369e+00 9.6231e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8862e+00
30 4.0000e-01 -7.8644e+00 9.3270e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4626e+00
40 5.3333e-01 -7.7774e+00 9.1116e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3342e+00
50 6.6667e-01 -7.7935e+00 8.5798e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8634e-01
60 8.0000e-01 -7.7995e+00 8.4076e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0810e-01
70 9.3333e-01 -7.7768e+00 8.2630e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8615e-01
80 1.0667e+00 -7.7827e+00 8.0902e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0751e-01
90 1.2000e+00 -7.7842e+00 8.0130e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2878e-01
100 1.3333e+00 -7.7795e+00 7.9508e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7134e-01
110 1.4667e+00 -7.7815e+00 7.8931e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1152e-01
120 1.6000e+00 -7.7819e+00 7.8616e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9777e-02
130 1.7333e+00 -7.7803e+00 7.8373e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6981e-02
140 1.8667e+00 -7.7797e+00 7.8170e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7266e-02
150 2.0000e+00 -7.7787e+00 7.8044e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5728e-02
160 2.1333e+00 -7.7772e+00 7.7947e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7492e-02
170 2.2667e+00 -7.7756e+00 7.7863e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0661e-02
180 2.4000e+00 -7.7738e+00 7.7801e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3087e-03
190 2.5333e+00 -7.7718e+00 7.7753e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4942e-03
200 2.6667e+00 -7.7703e+00 7.7714e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1549e-03
