step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1113e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3364e+00
10 1.3333e-01 -7.5692e+00 1.1249e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6803e+00
20 2.6667e-01 -7.7386e+00 9.6215e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8830e+00
30 4.0000e-01 -7.8634e+00 9.3347e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4713e+00
40 5.3333e-01 -7.7768e+00 9.1082e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3314e+00
50 6.6667e-01 -7.7946e+00 8.5788e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8412e-01
60 8.0000e-01 -7.7989e+00 8.4110e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1217e-01
70 9.3333e-01 -7.7766e+00 8.2616e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8500e-01
80 1.0667e+00 -7.7831e+00 8.0901e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0698e-01
90 1.2000e+00 -7.7840e+00 8.0141e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3008e-01
100 1.3333e+00 -7.7794e+00 7.9505e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7106e-01
110 1.4667e+00 -7.7816e+00 7.8930e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1137e-01
120 1.6000e+00 -7.7818e+00 7.8618e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0022e-02
130 1.7333e+00 -7.7803e+00 7.8371e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6861e-02
140 1.8667e+00 -7.7797e+00 7.8169e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7181e-02
150 2.0000e+00 -7.7787e+00 7.8044e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5729e-02
160 2.1333e+00 -7.7772e+00 7.7946e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7415e-02
170 2.2667e+00 -7.7756e+00 7.7862e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0590e-02
180 2.4000e+00 -7.7738e+00 7.7800e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2679e-03
190 2.5333e+00 -7.7718e+00 7.7752e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4415e-03
200 2.6667e+00 -7.7703e+00 7.7714e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0990e-03
