step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4278e+00   2.8078e-01     (9,50,3)   3.1253e+01    28   9.38379e-04
10     1.333333e-01   1.6928e+00   2.8758e-01    (3,52,22)   3.0917e+00    26   8.77075e-04
20     2.666667e-01   1.5569e+00   1.2752e-01    (3,10,27)   2.0546e+00    27   8.35602e-04
30     4.000000e-01   1.5068e+00   1.0129e-01    (3,44,29)   1.1906e+00    26   9.81110e-04
40     5.333333e-01   1.4820e+00   1.0287e-01    (3,52,18)   8.1051e-01    27   8.39850e-04
50     6.666667e-01   1.4420e+00   8.1429e-02    (3,52,18)   6.5931e-01    27   8.35902e-04
60     8.000000e-01   1.4100e+00   8.1995e-02    (3,52,18)   5.8787e-01    27   8.24624e-04
70     9.333333e-01   1.3744e+00   7.4389e-02    (3,52,18)   5.2957e-01    27   8.19817e-04
80     1.066667e+00   1.3403e+00   6.9656e-02     (3,3,18)   4.7765e-01    26   9.77175e-04
90     1.200000e+00   1.3057e+00   6.5080e-02    (3,52,18)   4.3576e-01    26   9.88479e-04
100    1.333333e+00   1.2724e+00   6.0476e-02    (3,52,18)   4.0048e-01    26   9.67252e-04
110    1.466667e+00   1.2534e+00   5.6559e-02    (3,52,18)   3.6939e-01    26   9.54351e-04
120    1.600000e+00   1.2365e+00   5.2875e-02    (3,52,18)   3.4077e-01    26   9.59439e-04
130    1.733333e+00   1.2208e+00   4.9563e-02    (3,52,18)   3.1563e-01    26   9.41808e-04
140    1.866667e+00   1.2060e+00   4.6503e-02    (3,52,18)   2.9448e-01    26   9.02749e-04
150    2.000000e+00   1.1923e+00   4.3662e-02    (3,52,18)   2.7571e-01    26   8.57358e-04
160    2.133333e+00   1.1795e+00   4.1030e-02    (3,52,18)   2.5811e-01    26   8.09492e-04
170    2.266667e+00   1.1674e+00   3.8611e-02    (3,52,18)   2.4243e-01    25   9.91490e-04
180    2.400000e+00   1.1570e+00   3.6335e-02    (3,52,18)   2.2768e-01    25   9.42363e-04
190    2.533333e+00   1.1492e+00   3.4246e-02    (3,52,18)   2.1446e-01    25   8.98314e-04
200    2.666667e+00   1.1428e+00   3.2365e-02    (3,52,18)   2.0229e-01    25   8.49202e-04
