step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4278e+00   2.8064e-01      (9,6,3)   3.1253e+01    24   9.91685e-04
10     1.333333e-01   1.6929e+00   2.8808e-01    (3,13,18)   3.0911e+00    24   4.05728e-04
20     2.666667e-01   1.5569e+00   1.2744e-01    (3,23,27)   2.0539e+00    25   7.47975e-04
30     4.000000e-01   1.5068e+00   1.0132e-01    (3,19,29)   1.1909e+00    24   7.82472e-04
40     5.333333e-01   1.4819e+00   1.0286e-01    (3,34,18)   8.1057e-01    25   7.65994e-04
50     6.666667e-01   1.4419e+00   8.1445e-02     (3,7,18)   6.5939e-01    25   7.20273e-04
60     8.000000e-01   1.4099e+00   8.1981e-02    (3,20,18)   5.8790e-01    25   8.96664e-04
70     9.333333e-01   1.3743e+00   7.4432e-02    (3,13,18)   5.2947e-01    24   9.82110e-04
80     1.066667e+00   1.3402e+00   6.9703e-02    (3,18,18)   4.7750e-01    22   9.87133e-04
90     1.200000e+00   1.3056e+00   6.5060e-02     (3,4,18)   4.3584e-01    25   8.90927e-04
100    1.333333e+00   1.2724e+00   6.0504e-02    (3,22,18)   4.0046e-01    24   9.13385e-04
110    1.466667e+00   1.2534e+00   5.6544e-02    (3,40,18)   3.6948e-01    26   6.95347e-04
120    1.600000e+00   1.2365e+00   5.2894e-02    (3,44,18)   3.4072e-01    23   8.67921e-04
130    1.733333e+00   1.2208e+00   4.9562e-02    (3,10,18)   3.1563e-01    23   7.83403e-04
140    1.866667e+00   1.2060e+00   4.6503e-02    (3,16,18)   2.9447e-01    23   8.01462e-04
150    2.000000e+00   1.1923e+00   4.3657e-02    (3,14,18)   2.7572e-01    24   7.89356e-04
160    2.133333e+00   1.1795e+00   4.1034e-02     (3,7,18)   2.5814e-01    22   6.80927e-04
170    2.266667e+00   1.1674e+00   3.8612e-02    (3,11,18)   2.4249e-01    21   6.57266e-04
180    2.400000e+00   1.1570e+00   3.6335e-02     (3,8,18)   2.2765e-01    22   9.33644e-04
190    2.533333e+00   1.1492e+00   3.4236e-02    (3,19,18)   2.1451e-01    23   7.27666e-04
200    2.666667e+00   1.1428e+00   3.2361e-02    (3,20,18)   2.0231e-01    23   9.55139e-04
