step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4278e+00   2.8068e-01      (9,3,3)   3.1254e+01    18   9.02959e-04
10     1.333333e-01   1.6928e+00   2.8770e-01    (3,52,22)   3.0904e+00    17   7.93561e-04
20     2.666667e-01   1.5569e+00   1.2750e-01    (3,49,27)   2.0543e+00    17   8.88443e-04
30     4.000000e-01   1.5068e+00   1.0119e-01     (3,6,29)   1.1900e+00    17   8.39452e-04
40     5.333333e-01   1.4819e+00   1.0285e-01     (3,7,18)   8.1022e-01    17   9.43154e-04
50     6.666667e-01   1.4419e+00   8.1425e-02     (3,7,18)   6.5932e-01    17   9.52814e-04
60     8.000000e-01   1.4099e+00   8.1980e-02     (3,3,18)   5.8785e-01    17   9.78679e-04
70     9.333333e-01   1.3743e+00   7.4385e-02     (3,3,18)   5.2959e-01    17   9.83997e-04
80     1.066667e+00   1.3402e+00   6.9644e-02     (3,3,18)   4.7765e-01    17   9.51277e-04
90     1.200000e+00   1.3056e+00   6.5072e-02     (3,3,18)   4.3578e-01    17   9.19272e-04
100    1.333333e+00   1.2724e+00   6.0473e-02     (3,3,18)   4.0049e-01    17   8.75566e-04
110    1.466667e+00   1.2534e+00   5.6558e-02     (3,3,18)   3.6940e-01    17   8.30053e-04
120    1.600000e+00   1.2365e+00   5.2877e-02     (3,3,18)   3.4079e-01    17   7.98966e-04
130    1.733333e+00   1.2208e+00   4.9568e-02     (3,3,18)   3.1564e-01    17   8.03485e-04
140    1.866667e+00   1.2060e+00   4.6510e-02     (3,3,18)   2.9449e-01    17   8.21918e-04
150    2.000000e+00   1.1923e+00   4.3670e-02     (3,3,18)   2.7571e-01    17   8.21136e-04
160    2.133333e+00   1.1795e+00   4.1035e-02     (3,3,18)   2.5812e-01    17   7.83719e-04
170    2.266667e+00   1.1674e+00   3.8621e-02     (3,9,18)   2.4241e-01    16   9.47176e-04
180    2.400000e+00   1.1570e+00   3.6338e-02     (3,3,18)   2.2768e-01    16   8.55122e-04
190    2.533333e+00   1.1492e+00   3.4258e-02     (3,9,18)   2.1443e-01    15   9.54667e-04
200    2.666667e+00   1.1428e+00   3.2356e-02    (3,11,18)   2.0229e-01    15   9.03386e-04
