step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4278e+00   2.8051e-01      (9,3,3)   3.1252e+01   109   9.57930e-04
10     1.333333e-01   1.6930e+00   2.8769e-01     (3,3,22)   3.0948e+00   101   9.56377e-04
20     2.666667e-01   1.5568e+00   1.2737e-01     (3,3,27)   2.0560e+00   105   9.53998e-04
30     4.000000e-01   1.5069e+00   1.0145e-01     (3,3,30)   1.1929e+00   104   9.99579e-04
40     5.333333e-01   1.4819e+00   1.0280e-01     (3,3,19)   8.1169e-01   105   9.76504e-04
50     6.666667e-01   1.4419e+00   8.1353e-02     (3,3,19)   6.5935e-01   105   9.66382e-04
60     8.000000e-01   1.4099e+00   8.1971e-02     (3,3,19)   5.8784e-01   105   9.51700e-04
70     9.333333e-01   1.3743e+00   7.4325e-02     (3,3,19)   5.2952e-01   105   9.46169e-04
80     1.066667e+00   1.3402e+00   6.9616e-02     (3,3,19)   4.7762e-01   105   9.34749e-04
90     1.200000e+00   1.3056e+00   6.5038e-02     (3,3,19)   4.3575e-01   105   9.24570e-04
100    1.333333e+00   1.2724e+00   6.0439e-02     (3,3,18)   4.0045e-01   104   9.94748e-04
110    1.466667e+00   1.2534e+00   5.6525e-02     (3,3,18)   3.6937e-01   104   9.71496e-04
120    1.600000e+00   1.2365e+00   5.2843e-02     (3,3,18)   3.4075e-01   103   9.81863e-04
130    1.733333e+00   1.2208e+00   4.9553e-02     (3,3,19)   3.1561e-01   102   9.95037e-04
140    1.866667e+00   1.2060e+00   4.6494e-02     (3,3,19)   2.9446e-01   102   9.66035e-04
150    2.000000e+00   1.1923e+00   4.3656e-02     (3,3,19)   2.7568e-01   102   9.34637e-04
160    2.133333e+00   1.1795e+00   4.1025e-02     (3,3,19)   2.5808e-01   102   9.01223e-04
170    2.266667e+00   1.1674e+00   3.8624e-02     (3,3,18)   2.4241e-01   101   9.72382e-04
180    2.400000e+00   1.1570e+00   3.6344e-02     (3,3,18)   2.2766e-01   100   9.60953e-04
190    2.533333e+00   1.1492e+00   3.4254e-02     (3,3,19)   2.1445e-01    99   9.80262e-04
200    2.666667e+00   1.1428e+00   3.2369e-02     (3,3,19)   2.0228e-01    99   9.35919e-04
