step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4246e+00   2.8246e-01     (9,52,3)   3.1185e+01  1000   8.61752e-03
10     1.333333e-01   1.4559e+00   3.6399e-02     (39,3,8)   6.7750e+00  1000   1.90643e-02
20     2.666667e-01   1.4759e+00   1.6301e-02   (50,52,28)   3.0952e+00  1000   1.22587e-02
30     4.000000e-01   1.4854e+00   2.1124e-02    (7,52,19)   1.1805e+00  1000   1.15363e-02
40     5.333333e-01   1.4101e+00   1.1424e-02    (51,3,28)   1.6951e+00  1000   1.13629e-02
50     6.666667e-01   1.3926e+00   7.2333e-03     (7,3,18)   6.9326e-01  1000   7.09815e-03
60     8.000000e-01   1.3696e+00   7.5524e-03     (7,3,18)   5.5967e-01  1000   5.95918e-03
70     9.333333e-01   1.3296e+00   4.0071e-03     (7,3,18)   5.4326e-01  1000   5.20743e-03
80     1.066667e+00   1.3036e+00   3.9101e-03     (7,3,18)   3.1758e-01  1000   3.40352e-03
90     1.200000e+00   1.2754e+00   3.5024e-03     (7,3,18)   3.0440e-01  1000   2.66655e-03
100    1.333333e+00   1.2445e+00   2.4952e-03     (7,3,18)   2.7946e-01  1000   2.11397e-03
110    1.466667e+00   1.2257e+00   2.2670e-03     (7,3,18)   2.3939e-01  1000   1.39493e-03
120    1.600000e+00   1.2115e+00   1.9820e-03     (7,3,18)   2.2857e-01  1000   1.01382e-03
130    1.733333e+00   1.1976e+00   1.6497e-03     (8,4,17)   2.1464e-01   926   9.98617e-04
140    1.866667e+00   1.1850e+00   1.5449e-03     (8,4,17)   2.0204e-01   822   9.96865e-04
150    2.000000e+00   1.1729e+00   1.4482e-03     (8,4,17)   1.9481e-01   732   9.98239e-04
160    2.133333e+00   1.1616e+00   1.3730e-03     (8,4,17)   1.8763e-01   636   9.99409e-04
170    2.266667e+00   1.1510e+00   1.2736e-03     (8,4,17)   1.8011e-01   514   9.99205e-04
180    2.400000e+00   1.1408e+00   1.1858e-03    (8,28,17)   1.7304e-01   390   9.96957e-04
190    2.533333e+00   1.1325e+00   1.1305e-03    (8,28,17)   1.6664e-01   252   9.98505e-04
200    2.666667e+00   1.1263e+00   1.0895e-03     (8,3,17)   1.6073e-01   167   9.92998e-04
