step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4246e+00   2.8149e-01     (9,52,3)   3.1191e+01   624   9.95422e-04
10     1.333333e-01   1.4557e+00   3.5615e-02     (39,3,6)   6.7581e+00   711   9.98759e-04
20     2.666667e-01   1.4768e+00   1.5548e-02   (50,52,28)   3.1158e+00   667   9.90956e-04
30     4.000000e-01   1.4848e+00   2.0753e-02     (7,3,18)   1.2480e+00   659   9.94278e-04
40     5.333333e-01   1.4097e+00   1.1271e-02    (51,3,28)   1.6601e+00   659   9.92486e-04
50     6.666667e-01   1.3932e+00   7.3393e-03     (7,3,18)   6.8676e-01   610   9.91936e-04
60     8.000000e-01   1.3693e+00   7.4310e-03     (7,3,18)   5.8251e-01   592   9.94842e-04
70     9.333333e-01   1.3295e+00   3.9700e-03     (7,3,18)   5.3228e-01   578   9.91443e-04
80     1.066667e+00   1.3038e+00   3.9501e-03     (7,3,18)   3.1537e-01   533   9.97230e-04
90     1.200000e+00   1.2754e+00   3.4749e-03     (7,3,18)   3.0853e-01   509   9.90537e-04
100    1.333333e+00   1.2445e+00   2.4919e-03     (7,3,18)   2.7778e-01   484   9.91989e-04
110    1.466667e+00   1.2258e+00   2.2856e-03     (7,3,18)   2.3922e-01   440   9.97778e-04
120    1.600000e+00   1.2115e+00   1.9852e-03     (7,3,18)   2.2902e-01   408   9.90715e-04
130    1.733333e+00   1.1976e+00   1.6498e-03    (8,50,17)   2.1448e-01   375   9.94128e-04
140    1.866667e+00   1.1850e+00   1.5423e-03    (8,50,17)   2.0204e-01   332   9.93141e-04
150    2.000000e+00   1.1729e+00   1.4487e-03    (8,50,17)   1.9484e-01   295   9.96195e-04
160    2.133333e+00   1.1616e+00   1.3729e-03    (8,50,17)   1.8761e-01   255   9.97817e-04
170    2.266667e+00   1.1510e+00   1.2728e-03    (8,50,17)   1.8011e-01   205   9.95327e-04
180    2.400000e+00   1.1408e+00   1.1854e-03    (8,28,17)   1.7305e-01   154   9.94927e-04
190    2.533333e+00   1.1325e+00   1.1304e-03    (8,28,17)   1.6663e-01    98   9.97377e-04
200    2.666667e+00   1.1263e+00   1.0992e-03     (8,3,17)   1.6072e-01    66   9.92563e-04
