step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4246e+00   2.8259e-01      (9,3,3)   3.1180e+01  1000   4.78842e-03
10     1.333333e-01   1.4559e+00   3.6035e-02     (39,3,3)   6.7745e+00  1000   1.08683e-02
20     2.666667e-01   1.4758e+00   1.6116e-02     (50,3,3)   3.0948e+00  1000   6.99632e-03
30     4.000000e-01   1.4854e+00   2.1134e-02     (7,3,18)   1.1789e+00  1000   6.57995e-03
40     5.333333e-01   1.4101e+00   1.1268e-02     (51,3,3)   1.6961e+00  1000   6.48040e-03
50     6.666667e-01   1.3926e+00   7.2325e-03     (7,3,18)   6.9358e-01  1000   4.05072e-03
60     8.000000e-01   1.3696e+00   7.5583e-03     (7,3,18)   5.5917e-01  1000   3.39907e-03
70     9.333333e-01   1.3296e+00   4.0096e-03     (7,3,18)   5.4374e-01  1000   2.97117e-03
80     1.066667e+00   1.3036e+00   3.9104e-03     (7,3,18)   3.1770e-01  1000   1.94254e-03
90     1.200000e+00   1.2754e+00   3.5054e-03     (7,3,18)   3.0429e-01  1000   1.52136e-03
100    1.333333e+00   1.2445e+00   2.4966e-03     (7,3,18)   2.7959e-01  1000   1.20666e-03
110    1.466667e+00   1.2257e+00   2.2702e-03     (7,3,18)   2.3942e-01   943   9.97604e-04
120    1.600000e+00   1.2115e+00   1.9905e-03     (7,3,18)   2.2852e-01   862   9.98270e-04
130    1.733333e+00   1.1976e+00   1.6379e-03    (8,27,17)   2.1471e-01   784   9.99729e-04
140    1.866667e+00   1.1850e+00   1.5327e-03    (8,27,17)   2.0205e-01   680   9.97155e-04
150    2.000000e+00   1.1729e+00   1.4332e-03    (8,27,17)   1.9477e-01   590   9.96437e-04
160    2.133333e+00   1.1616e+00   1.3605e-03    (8,27,17)   1.8765e-01   495   9.96486e-04
170    2.266667e+00   1.1510e+00   1.2609e-03    (8,28,17)   1.8011e-01   373   9.97487e-04
180    2.400000e+00   1.1408e+00   1.1735e-03    (8,30,17)   1.7302e-01   252   9.96234e-04
190    2.533333e+00   1.1325e+00   1.1411e-03     (8,3,17)   1.6664e-01   148   9.95636e-04
200    2.666667e+00   1.1263e+00   1.1026e-03     (8,3,17)   1.6073e-01   109   9.97713e-04
