step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      1.333333e-02   1.4246e+00   2.8167e-01     (9,52,3)   3.1188e+01   723   9.94665e-04
10     1.333333e-01   1.4558e+00   3.5616e-02    (39,52,4)   6.7594e+00   830   9.98277e-04
20     2.666667e-01   1.4767e+00   1.5576e-02   (50,52,29)   3.1137e+00   774   9.95133e-04
30     4.000000e-01   1.4849e+00   2.0780e-02    (7,52,18)   1.2431e+00   765   9.96586e-04
40     5.333333e-01   1.4098e+00   1.1263e-02   (51,52,28)   1.6627e+00   764   9.96549e-04
50     6.666667e-01   1.3932e+00   7.3348e-03    (7,52,18)   6.8716e-01   703   9.92478e-04
60     8.000000e-01   1.3693e+00   7.4472e-03    (7,52,18)   5.8045e-01   680   9.99697e-04
70     9.333333e-01   1.3295e+00   3.9761e-03    (7,52,18)   5.3344e-01   662   9.98057e-04
80     1.066667e+00   1.3038e+00   3.9503e-03    (7,52,18)   3.1563e-01   607   9.92964e-04
90     1.200000e+00   1.2754e+00   3.4851e-03    (7,52,18)   3.0793e-01   576   9.92552e-04
100    1.333333e+00   1.2445e+00   2.4964e-03    (7,52,18)   2.7810e-01   544   9.98960e-04
110    1.466667e+00   1.2258e+00   2.2880e-03    (7,52,18)   2.3926e-01   490   9.95510e-04
120    1.600000e+00   1.2115e+00   1.9929e-03    (7,52,18)   2.2888e-01   449   9.93709e-04
130    1.733333e+00   1.1976e+00   1.6399e-03    (8,27,17)   2.1456e-01   408   9.95173e-04
140    1.866667e+00   1.1850e+00   1.5322e-03    (8,27,17)   2.0204e-01   354   9.93828e-04
150    2.000000e+00   1.1729e+00   1.4357e-03    (8,27,17)   1.9481e-01   307   9.99027e-04
160    2.133333e+00   1.1616e+00   1.3622e-03    (8,27,17)   1.8763e-01   258   9.94163e-04
170    2.266667e+00   1.1510e+00   1.2619e-03    (8,27,17)   1.8011e-01   195   9.93940e-04
180    2.400000e+00   1.1408e+00   1.1748e-03    (8,28,17)   1.7302e-01   132   9.97375e-04
190    2.533333e+00   1.1325e+00   1.1434e-03    (8,52,17)   1.6664e-01    78   9.89276e-04
200    2.666667e+00   1.1263e+00   1.1096e-03    (8,52,17)   1.6073e-01    58   9.81260e-04
