step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
140    1.866667e+00   1.5237e+00   7.9227e-02    (52,3,27)   6.2790e-01   500   5.34530e-01
1      1.333333e-02   1.5767e+00   1.8977e-01    (3,52,51)   4.2527e+01   500   2.09900e-01
150    2.000000e+00   1.5161e+00   8.3917e-02    (52,3,27)   6.4903e-01   500   5.39877e-01
10     1.333333e-01   1.6725e+00   5.8900e-02   (52,52,28)   1.0442e+01   500   4.28803e-01
160    2.133333e+00   1.5105e+00   8.8894e-02    (52,3,27)   6.7369e-01   500   5.44880e-01
20     2.666667e-01   1.7145e+00   5.5703e-02    (52,3,27)   4.8461e+00   500   4.29178e-01
170    2.266667e+00   1.5093e+00   9.4212e-02    (52,3,27)   7.0627e-01   500   5.49351e-01
30     4.000000e-01   1.7293e+00   4.6806e-02      (9,3,4)   1.7770e+00   500   4.21846e-01
180    2.400000e+00   1.5108e+00   9.9931e-02    (52,3,27)   7.4360e-01   500   5.53438e-01
40     5.333333e-01   1.6898e+00   5.2196e-02   (52,52,28)   1.2876e+00   500   4.41681e-01
190    2.533333e+00   1.5308e+00   1.0607e-01    (52,3,27)   7.8380e-01   500   5.57203e-01
50     6.666667e-01   1.6808e+00   4.7781e-02   (52,52,28)   8.0373e-01   500   4.48368e-01
200    2.666667e+00   1.5727e+00   1.1295e-01    (52,3,27)   8.1260e-01   500   5.60982e-01
60     8.000000e-01   1.6573e+00   4.9640e-02   (52,52,28)   9.6660e-01   500   4.62664e-01
210    2.800000e+00   1.6174e+00   1.2041e-01    (52,3,27)   8.6224e-01   500   5.64535e-01
70     9.333333e-01   1.6296e+00   5.4901e-02   (52,52,28)   5.8050e-01   500   4.77200e-01
220    2.933333e+00   1.6652e+00   1.2855e-01    (52,3,27)   9.2188e-01   500   5.67773e-01
80     1.066667e+00   1.6055e+00   5.6209e-02   (52,52,28)   5.4993e-01   500   4.87752e-01
230    3.066667e+00   1.7166e+00   1.3735e-01    (52,3,27)   9.9054e-01   500   5.70626e-01
90     1.200000e+00   1.5822e+00   5.9731e-02   (52,52,28)   6.4263e-01   500   4.98150e-01
240    3.200000e+00   1.7722e+00   1.4692e-01    (52,3,27)   1.0735e+00   500   5.73167e-01
100    1.333333e+00   1.5690e+00   6.3406e-02   (52,52,28)   5.7432e-01   500   5.07216e-01
250    3.333333e+00   1.8325e+00   1.5735e-01    (52,3,27)   1.1715e+00   500   5.75399e-01
110    1.466667e+00   1.5562e+00   6.6772e-02   (52,52,28)   5.8945e-01   500   5.15027e-01
260    3.466667e+00   1.8986e+00   1.6880e-01    (52,3,27)   1.2873e+00   500   5.77321e-01
120    1.600000e+00   1.5437e+00   7.0743e-02   (52,52,28)   6.0937e-01   500   5.22128e-01
270    3.600000e+00   1.9715e+00   1.8148e-01    (52,3,27)   1.4260e+00   500   5.78985e-01
130    1.733333e+00   1.5329e+00   7.4882e-02   (52,52,28)   6.0818e-01   500   5.28590e-01
280    3.733333e+00   2.0525e+00   1.9563e-01    (52,3,27)   1.5938e+00   500   5.80482e-01
140    1.866667e+00   1.5237e+00   7.9227e-02    (52,3,27)   6.2790e-01   500   5.34530e-01
290    3.866667e+00   2.1436e+00   2.1158e-01    (52,3,27)   1.8014e+00   500   5.81864e-01
150    2.000000e+00   1.5161e+00   8.3917e-02    (52,3,27)   6.4903e-01   500   5.39877e-01
300    4.000000e+00   2.2475e+00   2.2976e-01    (52,3,27)   2.0645e+00   500   5.83117e-01
160    2.133333e+00   1.5105e+00   8.8894e-02    (52,3,27)   6.7369e-01   500   5.44880e-01
310    4.133333e+00   2.3673e+00   2.5072e-01    (52,3,27)   2.4062e+00   500   5.84224e-01
320    4.266667e+00   2.5080e+00   2.7525e-01    (52,3,27)   2.8503e+00   500   5.85325e-01
330    4.400000e+00   2.6772e+00   3.0500e-01    (52,3,27)   3.4719e+00   500   5.86488e-01
340    4.533333e+00   2.8892e+00   3.4198e-01    (52,3,27)   4.4153e+00   500   5.87637e-01
350    4.666667e+00   3.1711e+00   3.9044e-01    (52,3,27)   5.9973e+00   500   5.88875e-01
360    4.800000e+00   3.5763e+00   4.5946e-01    (52,3,27)   8.9551e+00   500   5.90548e-01
370    4.933333e+00   4.2575e+00   5.7442e-01    (52,3,27)   1.5839e+01   500   5.93250e-01
380    5.066667e+00   5.4943e+00   7.9170e-01    (52,3,27)   3.1252e+01   500   5.96632e-01
390    5.200000e+00   8.8503e+00   1.4712e+00    (52,3,27)   1.0336e+02   500   6.05178e-01
