step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   3.4578e-05   (30,25,27)   3.5998e+00    66   9.60463e-04
10     6.250000e-02   1.0000e+00   3.5946e-04   (34,28,34)   9.1561e-01    28   9.78545e-04
20     1.250000e-01   1.0000e+00   7.7668e-04    (3,18,34)   4.7477e-01    16   9.20842e-04
30     1.875000e-01   1.0000e+00   8.1881e-04    (3,19,34)   3.2407e-01    14   9.15283e-04
40     2.500000e-01   1.0000e+00   8.6454e-04    (34,5,34)   2.4609e-01    14   9.09760e-04
50     3.125000e-01   1.0000e+00   9.3897e-04   (34,33,34)   1.9814e-01    14   9.88345e-04
60     3.750000e-01   1.0000e+00   9.3041e-04    (34,4,34)   1.6564e-01    14   9.37367e-04
70     4.375000e-01   1.0000e+00   9.2527e-04    (34,4,34)   1.4215e-01    14   9.06267e-04
80     5.000000e-01   1.0000e+00   9.2416e-04    (34,4,34)   1.2436e-01    14   8.96749e-04
90     5.625000e-01   1.0000e+00   9.2236e-04   (34,31,34)   1.1033e-01    14   8.96294e-04
100    6.250000e-01   1.0000e+00   9.2320e-04    (34,6,34)   9.8996e-02    14   8.95906e-04
110    6.875000e-01   1.0000e+00   9.2216e-04    (34,6,34)   8.9608e-02    14   9.02615e-04
120    7.500000e-01   1.0000e+00   9.1425e-04   (34,22,34)   8.1688e-02    14   8.92422e-04
130    8.125000e-01   1.0000e+00   9.2193e-04   (34,15,34)   7.4869e-02    14   9.05719e-04
140    8.750000e-01   1.0000e+00   9.2636e-04   (34,15,34)   6.8940e-02    14   9.08320e-04
150    9.375000e-01   1.0000e+00   9.3267e-04   (34,22,34)   6.3748e-02    14   9.17591e-04
160    1.000000e+00   1.0000e+00   9.3713e-04   (34,21,34)   5.9155e-02    14   9.23739e-04
170    1.062500e+00   1.0000e+00   9.4228e-04   (34,22,34)   5.5037e-02    14   9.31026e-04
180    1.125000e+00   1.0000e+00   9.4760e-04   (34,21,34)   5.1328e-02    14   9.36623e-04
190    1.187500e+00   1.0000e+00   9.5248e-04   (34,16,34)   4.7976e-02    14   9.42625e-04
200    1.250000e+00   1.0000e+00   9.5767e-04   (34,21,34)   4.4950e-02    14   9.47899e-04
210    1.312500e+00   1.0000e+00   9.6250e-04   (34,21,34)   4.2208e-02    14   9.53682e-04
220    1.375000e+00   1.0000e+00   9.6783e-04   (34,16,34)   3.9706e-02    14   9.60042e-04
230    1.437500e+00   1.0000e+00   9.8257e-04   (34,16,34)   3.7410e-02    14   9.83940e-04
240    1.500000e+00   1.0000e+00   9.8649e-04   (34,16,34)   3.5304e-02    14   9.88770e-04
250    1.562500e+00   1.0000e+00   9.9001e-04   (34,16,34)   3.3364e-02    14   9.93097e-04
260    1.625000e+00   1.0000e+00   9.9309e-04   (34,16,34)   3.1567e-02    14   9.96858e-04
270    1.687500e+00   1.0000e+00   9.8680e-04   (34,21,34)   2.9900e-02    14   9.65250e-04
280    1.750000e+00   1.0000e+00   9.8858e-04   (34,16,34)   2.8350e-02    14   9.67552e-04
290    1.812500e+00   1.0000e+00   9.9082e-04   (34,16,34)   2.6905e-02    14   9.70051e-04
300    1.875000e+00   1.0000e+00   9.9285e-04   (34,16,34)   2.5553e-02    14   9.72255e-04
310    1.937500e+00   1.0000e+00   9.9469e-04   (34,16,34)   2.4285e-02    14   9.74206e-04
320    2.000000e+00   1.0000e+00   9.9636e-04   (34,16,34)   2.3095e-02    14   9.75935e-04
330    2.062500e+00   1.0000e+00   9.9787e-04   (34,16,34)   2.1978e-02    14   9.77460e-04
340    2.125000e+00   1.0000e+00   9.9923e-04   (34,16,34)   2.0926e-02    14   9.78804e-04
350    2.187500e+00   1.0000e+00   1.0005e-03   (34,16,34)   1.9937e-02    14   9.79997e-04
360    2.250000e+00   1.0000e+00   1.0015e-03   (34,16,34)   1.9004e-02    14   9.81040e-04
370    2.312500e+00   1.0000e+00   1.0025e-03   (34,16,34)   1.8123e-02    14   9.81978e-04
380    2.375000e+00   1.0000e+00   1.0034e-03   (34,16,34)   1.7289e-02    14   9.82813e-04
390    2.437500e+00   1.0000e+00   1.0043e-03   (34,16,34)   1.6499e-02    14   9.83554e-04
400    2.500000e+00   1.0000e+00   1.0051e-03   (34,16,34)   1.5748e-02    14   9.84213e-04
410    2.562500e+00   1.0000e+00   1.0058e-03   (34,16,34)   1.5035e-02    14   9.84801e-04
420    2.625000e+00   1.0000e+00   1.0064e-03   (34,16,34)   1.4356e-02    14   9.85328e-04
430    2.687500e+00   1.0000e+00   1.0071e-03   (34,16,34)   1.3711e-02    14   9.85801e-04
440    2.750000e+00   1.0000e+00   1.0076e-03   (34,16,34)   1.3097e-02    14   9.86227e-04
450    2.812500e+00   1.0000e+00   1.0082e-03   (34,16,34)   1.2512e-02    14   9.86612e-04
460    2.875000e+00   1.0000e+00   1.0087e-03   (34,16,34)   1.1954e-02    14   9.86959e-04
470    2.937500e+00   1.0000e+00   1.0092e-03   (34,16,34)   1.1422e-02    14   9.87274e-04
480    3.000000e+00   1.0000e+00   1.0096e-03   (34,16,34)   1.0915e-02    14   9.87561e-04
490    3.062500e+00   1.0000e+00   1.0100e-03   (34,16,34)   1.0431e-02    14   9.87823e-04
500    3.125000e+00   1.0000e+00   1.0104e-03   (34,16,34)   9.9690e-03    14   9.88063e-04
510    3.187500e+00   1.0000e+00   1.0108e-03   (34,16,34)   9.5276e-03    14   9.88284e-04
520    3.250000e+00   1.0000e+00   1.0111e-03   (34,16,34)   9.1059e-03    14   9.88488e-04
530    3.312500e+00   1.0000e+00   1.0115e-03   (34,16,34)   8.7029e-03    14   9.88677e-04
540    3.375000e+00   1.0000e+00   1.0118e-03   (34,16,34)   8.3177e-03    14   9.88853e-04
550    3.437500e+00   1.0000e+00   1.0121e-03   (34,16,34)   7.9493e-03    14   9.89017e-04
560    3.500000e+00   1.0000e+00   1.0124e-03   (34,16,34)   7.5970e-03    14   9.89171e-04
570    3.562500e+00   1.0000e+00   1.0127e-03   (34,16,34)   7.2600e-03    14   9.89315e-04
