step           time         Umax       divMax           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   9.4407e-01   2.0712e+00    35   8.84743e-06
10     6.250000e-02   1.0000e+00   4.2920e+00   7.6757e-01    52   9.79065e-06
20     1.250000e-01   1.0000e+00   5.5349e+00   4.4229e-01    65   9.86227e-06
30     1.875000e-01   1.0000e+00   6.1798e+00   3.0917e-01    75   9.49766e-06
40     2.500000e-01   1.0000e+00   6.5893e+00   2.3577e-01    80   9.99014e-06
50     3.125000e-01   1.0000e+00   6.8789e+00   1.8905e-01    85   9.52075e-06
60     3.750000e-01   1.0000e+00   7.0976e+00   1.5670e-01    88   9.59942e-06
70     4.375000e-01   1.0000e+00   7.2692e+00   1.3303e-01    90   9.85640e-06
80     5.000000e-01   1.0000e+00   7.4080e+00   1.1501e-01    92   9.84313e-06
90     5.625000e-01   1.0000e+00   7.5229e+00   1.0088e-01    94   9.63343e-06
100    6.250000e-01   1.0000e+00   7.6197e+00   8.9509e-02    95   9.81822e-06
110    6.875000e-01   1.0000e+00   7.7023e+00   8.0176e-02    96   9.88441e-06
120    7.500000e-01   1.0000e+00   7.7738e+00   7.2379e-02    97   9.85543e-06
130    8.125000e-01   1.0000e+00   7.8345e+00   6.5757e-02    98   9.74482e-06
140    8.750000e-01   1.0000e+00   7.8878e+00   6.0060e-02    99   9.57208e-06
150    9.375000e-01   1.0000e+00   7.9354e+00   5.5100e-02    99   9.88248e-06
160    1.000000e+00   1.0000e+00   7.9772e+00   5.0729e-02   100   9.60434e-06
170    1.062500e+00   1.0000e+00   8.0143e+00   4.6845e-02   100   9.82718e-06
180    1.125000e+00   1.0000e+00   8.0471e+00   4.3365e-02   101   9.48168e-06
190    1.187500e+00   1.0000e+00   8.0762e+00   4.0219e-02   101   9.64059e-06
200    1.250000e+00   1.0000e+00   8.1020e+00   3.7363e-02   101   9.77815e-06
210    1.312500e+00   1.0000e+00   8.1249e+00   3.4758e-02   101   9.89680e-06
220    1.375000e+00   1.0000e+00   8.1452e+00   3.2372e-02   102   9.45915e-06
230    1.437500e+00   1.0000e+00   8.1633e+00   3.0177e-02   102   9.54463e-06
240    1.500000e+00   1.0000e+00   8.1793e+00   2.8153e-02   102   9.61676e-06
