step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   5.1417e-05    (3,34,34)   3.5998e+00   752   9.95098e-04
10     6.250000e-02   1.0000e+00   5.3406e-04   (34,16,34)   9.1562e-01   171   9.94246e-04
20     1.250000e-01   1.0000e+00   1.0349e-03    (4,31,33)   4.7478e-01    28   9.99609e-04
30     1.875000e-01   1.0000e+00   1.2252e-03    (4,33,33)   3.2408e-01    19   9.55719e-04
40     2.500000e-01   1.0000e+00   1.2711e-03    (34,4,34)   2.4609e-01    18   9.49552e-04
50     3.125000e-01   1.0000e+00   1.3046e-03    (34,4,34)   1.9814e-01    18   9.43275e-04
60     3.750000e-01   1.0000e+00   1.3341e-03    (34,4,34)   1.6564e-01    18   9.54568e-04
70     4.375000e-01   1.0000e+00   1.3588e-03    (34,4,34)   1.4215e-01    18   9.69217e-04
80     5.000000e-01   1.0000e+00   1.3813e-03    (34,6,34)   1.2436e-01    18   9.82662e-04
90     5.625000e-01   1.0000e+00   1.4088e-03    (34,6,34)   1.1033e-01    18   9.97366e-04
100    6.250000e-01   1.0000e+00   1.2737e-03   (34,24,34)   9.8998e-02    19   9.00388e-04
110    6.875000e-01   1.0000e+00   1.3091e-03   (34,24,34)   8.9610e-02    19   9.13448e-04
120    7.500000e-01   1.0000e+00   1.3560e-03   (34,22,34)   8.1690e-02    19   9.36813e-04
130    8.125000e-01   1.0000e+00   1.3956e-03   (34,22,34)   7.4871e-02    19   9.58302e-04
140    8.750000e-01   1.0000e+00   1.4303e-03   (34,22,34)   6.8942e-02    19   9.78228e-04
150    9.375000e-01   1.0000e+00   1.4615e-03   (34,22,34)   6.3750e-02    19   9.96657e-04
160    1.000000e+00   1.0000e+00   1.3235e-03   (34,22,34)   5.9157e-02    20   9.01313e-04
170    1.062500e+00   1.0000e+00   1.3478e-03   (34,22,34)   5.5039e-02    20   9.16835e-04
180    1.125000e+00   1.0000e+00   1.3688e-03   (34,22,34)   5.1329e-02    20   9.30586e-04
190    1.187500e+00   1.0000e+00   1.3870e-03   (34,22,34)   4.7978e-02    20   9.42739e-04
200    1.250000e+00   1.0000e+00   1.4030e-03   (34,22,34)   4.4951e-02    20   9.53704e-04
210    1.312500e+00   1.0000e+00   1.4173e-03   (34,22,34)   4.2210e-02    20   9.63652e-04
220    1.375000e+00   1.0000e+00   1.4300e-03   (34,22,34)   3.9707e-02    20   9.72666e-04
230    1.437500e+00   1.0000e+00   1.4413e-03   (34,22,34)   3.7412e-02    20   9.80845e-04
240    1.500000e+00   1.0000e+00   1.4513e-03   (34,22,34)   3.5305e-02    20   9.88264e-04
250    1.562500e+00   1.0000e+00   1.4603e-03   (34,22,34)   3.3365e-02    20   9.94954e-04
260    1.625000e+00   1.0000e+00   1.3205e-03   (34,22,34)   3.1568e-02    21   8.99633e-04
270    1.687500e+00   1.0000e+00   1.3290e-03   (34,22,34)   2.9901e-02    21   9.06687e-04
280    1.750000e+00   1.0000e+00   1.3351e-03   (34,22,34)   2.8351e-02    21   9.11512e-04
290    1.812500e+00   1.0000e+00   1.3407e-03   (34,22,34)   2.6906e-02    21   9.15829e-04
300    1.875000e+00   1.0000e+00   1.3457e-03   (34,22,34)   2.5554e-02    21   9.19691e-04
310    1.937500e+00   1.0000e+00   1.3502e-03   (34,22,34)   2.4286e-02    21   9.23149e-04
320    2.000000e+00   1.0000e+00   1.3542e-03   (34,22,34)   2.3096e-02    21   9.26249e-04
330    2.062500e+00   1.0000e+00   1.3579e-03   (34,22,34)   2.1979e-02    21   9.29029e-04
340    2.125000e+00   1.0000e+00   1.3612e-03   (34,22,34)   2.0927e-02    21   9.31518e-04
350    2.187500e+00   1.0000e+00   1.3642e-03   (34,22,34)   1.9938e-02    21   9.33815e-04
360    2.250000e+00   1.0000e+00   1.3669e-03   (34,22,34)   1.9005e-02    21   9.35856e-04
370    2.312500e+00   1.0000e+00   1.3694e-03   (34,22,34)   1.8124e-02    21   9.37684e-04
380    2.375000e+00   1.0000e+00   1.3717e-03   (34,22,34)   1.7290e-02    21   9.39316e-04
390    2.437500e+00   1.0000e+00   1.3738e-03   (34,22,34)   1.6499e-02    21   9.40773e-04
400    2.500000e+00   1.0000e+00   1.3757e-03   (34,22,34)   1.5749e-02    21   9.42075e-04
410    2.562500e+00   1.0000e+00   1.3775e-03   (34,22,34)   1.5035e-02    21   9.43241e-04
420    2.625000e+00   1.0000e+00   1.3791e-03   (34,22,34)   1.4357e-02    21   9.44285e-04
430    2.687500e+00   1.0000e+00   1.3806e-03   (34,22,34)   1.3712e-02    21   9.45221e-04
440    2.750000e+00   1.0000e+00   1.3819e-03   (34,22,34)   1.3098e-02    21   9.46059e-04
450    2.812500e+00   1.0000e+00   1.3831e-03   (34,22,34)   1.2512e-02    21   9.46809e-04
460    2.875000e+00   1.0000e+00   1.3843e-03   (34,22,34)   1.1955e-02    21   9.47482e-04
470    2.937500e+00   1.0000e+00   1.3853e-03   (34,22,34)   1.1423e-02    21   9.48084e-04
480    3.000000e+00   1.0000e+00   1.3863e-03   (34,22,34)   1.0916e-02    21   9.48625e-04
490    3.062500e+00   1.0000e+00   1.3872e-03   (34,22,34)   1.0432e-02    21   9.49112e-04
500    3.125000e+00   1.0000e+00   1.3880e-03   (34,22,34)   9.9695e-03    21   9.49550e-04
510    3.187500e+00   1.0000e+00   1.3888e-03   (34,22,34)   9.5281e-03    21   9.49947e-04
520    3.250000e+00   1.0000e+00   1.3895e-03   (34,22,34)   9.1064e-03    21   9.50306e-04
530    3.312500e+00   1.0000e+00   1.3902e-03   (34,22,34)   8.7033e-03    21   9.50632e-04
