step           time         Umax       divMax           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   1.7036e-06   1.2873e+00   923   9.95728e-05
10     6.250000e-02   1.0000e+00   3.2581e-05   3.3619e-01   549   9.96027e-05
20     1.250000e-01   1.0000e+00   3.6871e-05   1.7762e-01   335   9.96235e-05
30     1.875000e-01   1.0000e+00   4.0703e-05   1.2296e-01   206   9.96567e-05
40     2.500000e-01   1.0000e+00   5.1131e-05   9.4498e-02   108   9.98286e-05
50     3.125000e-01   1.0000e+00   5.4665e-05   7.6907e-02    69   9.89622e-05
60     3.750000e-01   1.0000e+00   5.8867e-05   6.4934e-02    60   9.93948e-05
70     4.375000e-01   1.0000e+00   6.2895e-05   5.6249e-02    57   9.79841e-05
80     5.000000e-01   1.0000e+00   6.6145e-05   4.9649e-02    55   9.89502e-05
90     5.625000e-01   1.0000e+00   6.6468e-05   4.4422e-02    55   9.90435e-05
100    6.250000e-01   1.0000e+00   6.4997e-05   4.0190e-02    56   9.81930e-05
110    6.875000e-01   1.0000e+00   6.3241e-05   3.6668e-02    57   9.76146e-05
120    7.500000e-01   1.0000e+00   6.1929e-05   3.3685e-02    58   9.80331e-05
130    8.125000e-01   1.0000e+00   6.0631e-05   3.1104e-02    59   9.87700e-05
140    8.750000e-01   1.0000e+00   5.9113e-05   2.8850e-02    60   9.92663e-05
150    9.375000e-01   1.0000e+00   5.9052e-05   2.6870e-02    61   9.97217e-05
160    1.000000e+00   1.0000e+00   5.9021e-05   2.5108e-02    62   9.95385e-05
170    1.062500e+00   1.0000e+00   5.9021e-05   2.3523e-02    63   9.97354e-05
180    1.125000e+00   1.0000e+00   5.8874e-05   2.2091e-02    64   9.99252e-05
190    1.187500e+00   1.0000e+00   5.8504e-05   2.0790e-02    65   9.94412e-05
200    1.250000e+00   1.0000e+00   5.8190e-05   1.9609e-02    66   9.90488e-05
210    1.312500e+00   1.0000e+00   5.7666e-05   1.8535e-02    67   9.84881e-05
220    1.375000e+00   1.0000e+00   5.7215e-05   1.7551e-02    68   9.80698e-05
230    1.437500e+00   1.0000e+00   5.8101e-05   1.6645e-02    68   9.97508e-05
240    1.500000e+00   1.0000e+00   5.7454e-05   1.5812e-02    69   9.91870e-05
250    1.562500e+00   1.0000e+00   5.6710e-05   1.5045e-02    70   9.85053e-05
260    1.625000e+00   1.0000e+00   5.7275e-05   1.4333e-02    70   9.97694e-05
270    1.687500e+00   1.0000e+00   5.6346e-05   1.3669e-02    71   9.88387e-05
280    1.750000e+00   1.0000e+00   5.5322e-05   1.3049e-02    72   9.77420e-05
290    1.812500e+00   1.0000e+00   5.5889e-05   1.2469e-02    72   9.91012e-05
300    1.875000e+00   1.0000e+00   5.4809e-05   1.1925e-02    73   9.79201e-05
310    1.937500e+00   1.0000e+00   5.5270e-05   1.1414e-02    73   9.90193e-05
320    2.000000e+00   1.0000e+00   5.4045e-05   1.0933e-02    74   9.75672e-05
330    2.062500e+00   1.0000e+00   5.4456e-05   1.0481e-02    74   9.86461e-05
340    2.125000e+00   1.0000e+00   5.4766e-05   1.0054e-02    74   9.95553e-05
350    2.187500e+00   1.0000e+00   5.3685e-05   9.6505e-03    75   9.84008e-05
360    2.250000e+00   1.0000e+00   5.3980e-05   9.2681e-03    75   9.91762e-05
370    2.312500e+00   1.0000e+00   5.4265e-05   8.9050e-03    75   9.99090e-05
380    2.375000e+00   1.0000e+00   5.3237e-05   8.5596e-03    76   9.82938e-05
390    2.437500e+00   1.0000e+00   5.3713e-05   8.2305e-03    76   9.89344e-05
400    2.500000e+00   1.0000e+00   5.4167e-05   7.9167e-03    76   9.95458e-05
410    2.562500e+00   1.0000e+00   5.3894e-05   7.6173e-03    77   9.78335e-05
420    2.625000e+00   1.0000e+00   5.4305e-05   7.3315e-03    77   9.83802e-05
430    2.687500e+00   1.0000e+00   5.4696e-05   7.0585e-03    77   9.88957e-05
440    2.750000e+00   1.0000e+00   5.5070e-05   6.7975e-03    77   9.93887e-05
450    2.812500e+00   1.0000e+00   5.5429e-05   6.5479e-03    77   9.98601e-05
460    2.875000e+00   1.0000e+00   5.5306e-05   6.3089e-03    78   9.83518e-05
470    2.937500e+00   1.0000e+00   5.5631e-05   6.0798e-03    78   9.87705e-05
480    3.000000e+00   1.0000e+00   5.5943e-05   5.8600e-03    78   9.91700e-05
490    3.062500e+00   1.0000e+00   5.6242e-05   5.6488e-03    78   9.95533e-05
500    3.125000e+00   1.0000e+00   5.6530e-05   5.4457e-03    78   9.99214e-05
510    3.187500e+00   1.0000e+00   5.6086e-05   5.2504e-03    79   9.80245e-05
520    3.250000e+00   1.0000e+00   5.6348e-05   5.0625e-03    79   9.83552e-05
530    3.312500e+00   1.0000e+00   5.6600e-05   4.8817e-03    79   9.86735e-05
540    3.375000e+00   1.0000e+00   5.6843e-05   4.7077e-03    79   9.89807e-05
550    3.437500e+00   1.0000e+00   5.7078e-05   4.5403e-03    79   9.92771e-05
560    3.500000e+00   1.0000e+00   5.7305e-05   4.3793e-03    79   9.95633e-05
570    3.562500e+00   1.0000e+00   5.7523e-05   4.2244e-03    79   9.98395e-05
580    3.625000e+00   1.0000e+00   5.7206e-05   4.0753e-03    80   9.81940e-05
590    3.687500e+00   1.0000e+00   5.7406e-05   3.9318e-03    80   9.84439e-05
600    3.750000e+00   1.0000e+00   5.7598e-05   3.7936e-03    80   9.86853e-05
610    3.812500e+00   1.0000e+00   5.7784e-05   3.6605e-03    80   9.89186e-05
620    3.875000e+00   1.0000e+00   5.7964e-05   3.5322e-03    80   9.91442e-05
630    3.937500e+00   1.0000e+00   5.8137e-05   3.4086e-03    80   9.93622e-05
640    4.000000e+00   1.0000e+00   5.8304e-05   3.2894e-03    80   9.95731e-05
650    4.062500e+00   1.0000e+00   5.8466e-05   3.1745e-03    80   9.97770e-05
660    4.125000e+00   1.0000e+00   5.8621e-05   3.0637e-03    80   9.99743e-05
670    4.187500e+00   1.0000e+00   5.7988e-05   2.9567e-03    81   9.79644e-05
680    4.250000e+00   1.0000e+00   5.8130e-05   2.8535e-03    81   9.81434e-05
690    4.312500e+00   1.0000e+00   5.8266e-05   2.7539e-03    81   9.83245e-05
700    4.375000e+00   1.0000e+00   5.8398e-05   2.6578e-03    81   9.84916e-05
710    4.437500e+00   1.0000e+00   5.8745e-05   2.5650e-03    81   9.89540e-05
720    4.500000e+00   1.0000e+00   5.8870e-05   2.4754e-03    81   9.91122e-05
730    4.562500e+00   1.0000e+00   5.8988e-05   2.3889e-03    81   9.92638e-05
740    4.625000e+00   1.0000e+00   5.9103e-05   2.3054e-03    81   9.94103e-05
750    4.687500e+00   1.0000e+00   5.9214e-05   2.2248e-03    81   9.95519e-05
760    4.750000e+00   1.0000e+00   5.9320e-05   2.1470e-03    81   9.96888e-05
770    4.812500e+00   1.0000e+00   5.9423e-05   2.0719e-03    81   9.98210e-05
780    4.875000e+00   1.0000e+00   5.9522e-05   1.9994e-03    81   9.99487e-05
790    4.937500e+00   1.0000e+00   5.8804e-05   1.9294e-03    82   9.79023e-05
800    5.000000e+00   1.0000e+00   5.8895e-05   1.8619e-03    82   9.80172e-05
810    5.062500e+00   1.0000e+00   5.8982e-05   1.7967e-03    82   9.81288e-05
820    5.125000e+00   1.0000e+00   5.9066e-05   1.7338e-03    82   9.82366e-05
830    5.187500e+00   1.0000e+00   5.9146e-05   1.6730e-03    82   9.83407e-05
840    5.250000e+00   1.0000e+00   5.9225e-05   1.6144e-03    82   9.84412e-05
850    5.312500e+00   1.0000e+00   5.9300e-05   1.5578e-03    82   9.85382e-05
860    5.375000e+00   1.0000e+00   5.9372e-05   1.5032e-03    82   9.86319e-05
870    5.437500e+00   1.0000e+00   5.9442e-05   1.4505e-03    82   9.87223e-05
880    5.500000e+00   1.0000e+00   5.9510e-05   1.3997e-03    82   9.88095e-05
890    5.562500e+00   1.0000e+00   5.9575e-05   1.3506e-03    82   9.88937e-05
900    5.625000e+00   1.0000e+00   5.9638e-05   1.3032e-03    82   9.89750e-05
910    5.687500e+00   1.0000e+00   5.9698e-05   1.2575e-03    82   9.90535e-05
920    5.750000e+00   1.0000e+00   5.9756e-05   1.2134e-03    82   9.91292e-05
930    5.812500e+00   1.0000e+00   5.9813e-05   1.1708e-03    82   9.92023e-05
940    5.875000e+00   1.0000e+00   5.9867e-05   1.1298e-03    82   9.92728e-05
950    5.937500e+00   1.0000e+00   5.9919e-05   1.0901e-03    82   9.93409e-05
960    6.000000e+00   1.0000e+00   6.0190e-05   1.0519e-03    82   9.97056e-05
970    6.062500e+00   1.0000e+00   6.0239e-05   1.0149e-03    82   9.97700e-05
980    6.125000e+00   1.0000e+00   6.0286e-05   9.7933e-04    82   9.98312e-05
990    6.187500e+00   1.0000e+00   6.0331e-05   9.4495e-04    82   9.98904e-05
1000   6.250000e+00   1.0000e+00   6.0375e-05   9.1178e-04    82   9.99474e-05
1010   6.312500e+00   1.0000e+00   5.9472e-05   8.7978e-04    83   9.77363e-05
1020   6.375000e+00   1.0000e+00   5.9610e-05   8.4889e-04    83   9.79173e-05
1030   6.437500e+00   1.0000e+00   5.9648e-05   8.1908e-04    83   9.79669e-05
1040   6.500000e+00   1.0000e+00   5.9685e-05   7.9032e-04    83   9.80149e-05
1050   6.562500e+00   1.0000e+00   5.9721e-05   7.6256e-04    83   9.80613e-05
1060   6.625000e+00   1.0000e+00   5.9755e-05   7.3578e-04    83   9.81060e-05
1070   6.687500e+00   1.0000e+00   5.9788e-05   7.0993e-04    83   9.81491e-05
1080   6.750000e+00   1.0000e+00   5.9820e-05   6.8499e-04    83   9.81907e-05
1090   6.812500e+00   1.0000e+00   5.9850e-05   6.6093e-04    83   9.82309e-05
1100   6.875000e+00   1.0000e+00   5.9880e-05   6.3771e-04    83   9.82697e-05
1110   6.937500e+00   1.0000e+00   5.9909e-05   6.1530e-04    83   9.83070e-05
1120   7.000000e+00   1.0000e+00   5.9936e-05   5.9367e-04    83   9.83431e-05
1130   7.062500e+00   1.0000e+00   5.9963e-05   5.7281e-04    83   9.83779e-05
1140   7.125000e+00   1.0000e+00   5.9988e-05   5.5267e-04    83   9.84115e-05
1150   7.187500e+00   1.0000e+00   6.0013e-05   5.3324e-04    83   9.84439e-05
1160   7.250000e+00   1.0000e+00   6.0037e-05   5.1450e-04    83   9.84752e-05
1170   7.312500e+00   1.0000e+00   6.0059e-05   4.9641e-04    83   9.85053e-05
1180   7.375000e+00   1.0000e+00   6.0082e-05   4.7895e-04    83   9.85345e-05
1190   7.437500e+00   1.0000e+00   6.0103e-05   4.6211e-04    83   9.85625e-05
1200   7.500000e+00   1.0000e+00   6.0123e-05   4.4586e-04    83   9.85896e-05
1210   7.562500e+00   1.0000e+00   6.0143e-05   4.3017e-04    83   9.86158e-05
1220   7.625000e+00   1.0000e+00   6.0162e-05   4.1504e-04    83   9.86410e-05
1230   7.687500e+00   1.0000e+00   6.0181e-05   4.0044e-04    83   9.86653e-05
1240   7.750000e+00   1.0000e+00   6.0199e-05   3.8635e-04    83   9.86888e-05
1250   7.812500e+00   1.0000e+00   6.0216e-05   3.7276e-04    83   9.87115e-05
1260   7.875000e+00   1.0000e+00   6.0232e-05   3.5964e-04    83   9.87334e-05
1270   7.937500e+00   1.0000e+00   6.0248e-05   3.4698e-04    83   9.87545e-05
1280   8.000000e+00   1.0000e+00   6.0264e-05   3.3477e-04    83   9.87748e-05
1290   8.062500e+00   1.0000e+00   6.0279e-05   3.2299e-04    83   9.87945e-05
1300   8.125000e+00   1.0000e+00   6.0293e-05   3.1162e-04    83   9.88134e-05
1310   8.187500e+00   1.0000e+00   6.0307e-05   3.0065e-04    83   9.88317e-05
1320   8.250000e+00   1.0000e+00   6.0320e-05   2.9006e-04    83   9.88494e-05
1330   8.312500e+00   1.0000e+00   6.0333e-05   2.7985e-04    83   9.88664e-05
1340   8.375000e+00   1.0000e+00   6.0345e-05   2.7000e-04    83   9.88828e-05
1350   8.437500e+00   1.0000e+00   6.0357e-05   2.6049e-04    83   9.88987e-05
1360   8.500000e+00   1.0000e+00   6.0369e-05   2.5132e-04    83   9.89140e-05
1370   8.562500e+00   1.0000e+00   6.0380e-05   2.4247e-04    83   9.89287e-05
1380   8.625000e+00   1.0000e+00   6.0391e-05   2.3393e-04    83   9.89430e-05
1390   8.687500e+00   1.0000e+00   6.0401e-05   2.2569e-04    83   9.89567e-05
1400   8.750000e+00   1.0000e+00   6.0411e-05   2.1774e-04    83   9.89700e-05
1410   8.812500e+00   1.0000e+00   6.0421e-05   2.1007e-04    83   9.89828e-05
1420   8.875000e+00   1.0000e+00   6.0430e-05   2.0267e-04    83   9.89951e-05
1430   8.937500e+00   1.0000e+00   6.0439e-05   1.9553e-04    83   9.90070e-05
1440   9.000000e+00   1.0000e+00   6.0447e-05   1.8864e-04    83   9.90185e-05
1450   9.062500e+00   1.0000e+00   6.0456e-05   1.8199e-04    83   9.90296e-05
1460   9.125000e+00   1.0000e+00   6.0464e-05   1.7558e-04    83   9.90403e-05
1470   9.187500e+00   1.0000e+00   6.0472e-05   1.6939e-04    83   9.90507e-05
1480   9.250000e+00   1.0000e+00   6.0479e-05   1.6342e-04    83   9.90606e-05
1490   9.312500e+00   1.0000e+00   6.0486e-05   1.5767e-04    83   9.90702e-05
1500   9.375000e+00   1.0000e+00   6.0493e-05   1.5211e-04    83   9.90795e-05
1510   9.437500e+00   1.0000e+00   6.0500e-05   1.4675e-04    83   9.90885e-05
1520   9.500000e+00   1.0000e+00   6.0507e-05   1.4158e-04    83   9.90971e-05
1530   9.562500e+00   1.0000e+00   6.0513e-05   1.3659e-04    83   9.91054e-05
1540   9.625000e+00   1.0000e+00   6.0519e-05   1.3177e-04    83   9.91135e-05
1550   9.687500e+00   1.0000e+00   6.0525e-05   1.2713e-04    83   9.91212e-05
1560   9.750000e+00   1.0000e+00   6.0530e-05   1.2265e-04    83   9.91287e-05
1570   9.812500e+00   1.0000e+00   6.0536e-05   1.1832e-04    83   9.91359e-05
1580   9.875000e+00   1.0000e+00   6.0541e-05   1.1415e-04    83   9.91429e-05
1590   9.937500e+00   1.0000e+00   6.0546e-05   1.1013e-04    83   9.91496e-05
