step           time         Umax       divMax           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   1.0748e-01   2.3580e-01    21   8.32383e-06
10     6.250000e-02   1.0000e+00   7.2782e-01   2.0085e-01    32   9.47267e-06
20     1.250000e-01   1.0000e+00   1.1167e+00   1.7195e-01    38   9.02364e-06
30     1.875000e-01   1.0000e+00   1.3863e+00   1.4881e-01    41   9.62152e-06
40     2.500000e-01   1.0000e+00   1.5921e+00   1.3035e-01    44   9.85223e-06
50     3.125000e-01   1.0000e+00   1.7673e+00   1.1555e-01    48   9.64341e-06
60     3.750000e-01   1.0000e+00   1.9238e+00   1.0354e-01    52   9.92897e-06
70     4.375000e-01   1.0000e+00   2.0649e+00   9.3651e-02    57   9.50563e-06
80     5.000000e-01   1.0000e+00   2.1922e+00   8.5390e-02    60   9.99165e-06
90     5.625000e-01   1.0000e+00   2.3074e+00   7.8359e-02    64   9.63238e-06
100    6.250000e-01   1.0000e+00   2.4321e+00   7.2337e-02    67   9.62076e-06
110    6.875000e-01   1.0000e+00   2.5643e+00   6.7160e-02    69   9.91279e-06
120    7.500000e-01   1.0000e+00   2.6881e+00   6.2681e-02    71   9.94985e-06
130    8.125000e-01   1.0000e+00   2.8037e+00   5.8775e-02    73   9.77821e-06
140    8.750000e-01   1.0000e+00   2.9114e+00   5.5335e-02    75   9.47728e-06
150    9.375000e-01   1.0000e+00   3.0117e+00   5.2319e-02    76   9.59701e-06
160    1.000000e+00   1.0000e+00   3.1047e+00   4.9689e-02    77   9.62168e-06
170    1.062500e+00   1.0000e+00   3.1910e+00   4.7397e-02    78   9.58734e-06
180    1.125000e+00   1.0000e+00   3.2714e+00   4.5421e-02    79   9.49113e-06
190    1.187500e+00   1.0000e+00   3.3467e+00   4.3761e-02    79   9.89019e-06
200    1.250000e+00   1.0000e+00   3.4179e+00   4.2361e-02    80   9.72822e-06
210    1.312500e+00   1.0000e+00   3.4856e+00   4.1206e-02    81   9.53770e-06
220    1.375000e+00   1.0000e+00   3.5509e+00   4.0260e-02    81   9.85390e-06
230    1.437500e+00   1.0000e+00   3.6147e+00   3.9474e-02    82   9.62300e-06
240    1.500000e+00   1.0000e+00   3.6778e+00   3.8853e-02    82   9.90411e-06
250    1.562500e+00   1.0000e+00   3.7393e+00   3.8346e-02    83   9.64374e-06
260    1.625000e+00   1.0000e+00   3.7959e+00   3.8011e-02    83   9.90485e-06
270    1.687500e+00   1.0000e+00   3.8469e+00   3.7733e-02    84   9.62138e-06
280    1.750000e+00   1.0000e+00   3.8950e+00   3.7647e-02    84   9.86027e-06
290    1.812500e+00   1.0000e+00   3.9424e+00   3.7617e-02    85   9.55265e-06
300    1.875000e+00   1.0000e+00   3.9898e+00   3.7794e-02    85   9.76598e-06
310    1.937500e+00   1.0000e+00   4.0380e+00   3.7932e-02    85   9.97010e-06
320    2.000000e+00   1.0000e+00   4.0869e+00   3.8276e-02    86   9.61304e-06
330    2.062500e+00   1.0000e+00   4.1369e+00   3.8596e-02    86   9.77469e-06
340    2.125000e+00   1.0000e+00   4.1880e+00   3.9143e-02    86   9.92155e-06
350    2.187500e+00   1.0000e+00   4.2395e+00   3.9534e-02    87   9.50498e-06
360    2.250000e+00   1.0000e+00   4.2893e+00   4.0186e-02    87   9.59157e-06
370    2.312500e+00   1.0000e+00   4.3366e+00   4.0598e-02    87   9.64364e-06
380    2.375000e+00   1.0000e+00   4.3807e+00   4.0949e-02    87   9.67611e-06
390    2.437500e+00   1.0000e+00   4.4218e+00   4.1105e-02    87   9.67230e-06
400    2.500000e+00   1.0000e+00   4.4583e+00   4.1180e-02    87   9.64330e-06
410    2.562500e+00   1.0000e+00   4.4881e+00   4.1217e-02    87   9.58177e-06
420    2.625000e+00   1.0000e+00   4.5091e+00   4.1046e-02    87   9.47262e-06
430    2.687500e+00   1.0000e+00   4.5177e+00   4.0670e-02    86   9.84409e-06
440    2.750000e+00   1.0000e+00   4.5113e+00   4.0073e-02    86   9.63771e-06
450    2.812500e+00   1.0000e+00   4.4954e+00   3.9445e-02    85   9.94993e-06
460    2.875000e+00   1.0000e+00   4.4722e+00   3.8497e-02    85   9.68091e-06
470    2.937500e+00   1.0000e+00   4.4423e+00   3.7436e-02    84   9.91460e-06
480    3.000000e+00   1.0000e+00   4.4043e+00   3.6198e-02    84   9.59701e-06
490    3.062500e+00   1.0000e+00   4.3712e+00   3.4751e-02    83   9.82841e-06
500    3.125000e+00   1.0000e+00   4.3486e+00   3.3226e-02    83   9.54229e-06
510    3.187500e+00   1.0000e+00   4.3296e+00   3.1825e-02    82   9.78147e-06
520    3.250000e+00   1.0000e+00   4.3118e+00   3.0584e-02    82   9.49992e-06
530    3.312500e+00   1.0000e+00   4.2919e+00   2.9343e-02    81   9.77247e-06
540    3.375000e+00   1.0000e+00   4.2730e+00   2.8178e-02    81   9.53651e-06
550    3.437500e+00   1.0000e+00   4.2576e+00   2.6935e-02    80   9.85771e-06
560    3.500000e+00   1.0000e+00   4.2429e+00   2.5871e-02    80   9.68261e-06
570    3.562500e+00   1.0000e+00   4.2266e+00   2.4802e-02    80   9.54631e-06
580    3.625000e+00   1.0000e+00   4.2069e+00   2.3713e-02    79   9.97725e-06
590    3.687500e+00   1.0000e+00   4.1832e+00   2.2609e-02    79   9.90960e-06
600    3.750000e+00   1.0000e+00   4.1564e+00   2.1505e-02    79   9.87170e-06
610    3.812500e+00   1.0000e+00   4.1280e+00   2.0428e-02    79   9.85731e-06
620    3.875000e+00   1.0000e+00   4.1005e+00   1.9380e-02    79   9.86055e-06
630    3.937500e+00   1.0000e+00   4.0759e+00   1.8369e-02    79   9.87730e-06
640    4.000000e+00   1.0000e+00   4.0551e+00   1.7395e-02    79   9.90359e-06
650    4.062500e+00   1.0000e+00   4.0377e+00   1.6457e-02    79   9.93578e-06
660    4.125000e+00   1.0000e+00   4.0233e+00   1.5570e-02    79   9.97188e-06
670    4.187500e+00   1.0000e+00   4.0116e+00   1.4747e-02    80   9.48068e-06
680    4.250000e+00   1.0000e+00   4.0024e+00   1.3970e-02    80   9.51939e-06
690    4.312500e+00   1.0000e+00   3.9946e+00   1.3270e-02    80   9.55901e-06
700    4.375000e+00   1.0000e+00   3.9877e+00   1.2637e-02    80   9.60004e-06
710    4.437500e+00   1.0000e+00   3.9815e+00   1.2068e-02    80   9.64229e-06
720    4.500000e+00   1.0000e+00   3.9759e+00   1.1556e-02    80   9.68584e-06
730    4.562500e+00   1.0000e+00   3.9710e+00   1.1094e-02    80   9.73085e-06
740    4.625000e+00   1.0000e+00   3.9669e+00   1.0680e-02    80   9.77744e-06
750    4.687500e+00   1.0000e+00   3.9635e+00   1.0306e-02    80   9.82559e-06
760    4.750000e+00   1.0000e+00   3.9610e+00   9.9698e-03    80   9.87497e-06
770    4.812500e+00   1.0000e+00   3.9594e+00   9.6664e-03    80   9.92519e-06
780    4.875000e+00   1.0000e+00   3.9585e+00   9.3914e-03    80   9.97567e-06
790    4.937500e+00   1.0000e+00   3.9584e+00   9.1409e-03    81   9.49444e-06
800    5.000000e+00   1.0000e+00   3.9590e+00   8.9118e-03    81   9.54092e-06
810    5.062500e+00   1.0000e+00   3.9602e+00   8.7009e-03    81   9.58595e-06
820    5.125000e+00   1.0000e+00   3.9621e+00   8.5052e-03    81   9.62917e-06
830    5.187500e+00   1.0000e+00   3.9644e+00   8.3221e-03    81   9.67031e-06
840    5.250000e+00   1.0000e+00   3.9672e+00   8.1483e-03    81   9.70917e-06
850    5.312500e+00   1.0000e+00   3.9701e+00   7.9814e-03    81   9.74565e-06
860    5.375000e+00   1.0000e+00   3.9733e+00   7.8205e-03    81   9.77978e-06
870    5.437500e+00   1.0000e+00   3.9764e+00   7.6641e-03    81   9.81157e-06
880    5.500000e+00   1.0000e+00   3.9795e+00   7.5114e-03    81   9.84108e-06
890    5.562500e+00   1.0000e+00   3.9825e+00   7.3620e-03    81   9.86841e-06
900    5.625000e+00   1.0000e+00   3.9854e+00   7.2154e-03    81   9.89365e-06
910    5.687500e+00   1.0000e+00   3.9880e+00   7.0720e-03    81   9.91696e-06
