step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1      6.250000e-03   1.0000e+00   8.4799e-01    (54,4,10)   4.0338e+01  1000   1.56691e-01
10     6.250000e-02   1.0000e+00   2.0771e-02     (4,4,10)   5.3646e+00  1000   4.25038e-02
20     1.250000e-01   1.0000e+00   2.1823e-02     (4,4,10)   2.7241e-01  1000   5.17411e-02
30     1.875000e-01   1.0000e+00   1.4273e-03    (65,5,10)   4.9622e-02  1000   3.40986e-03
40     2.500000e-01   1.0000e+00   1.8144e-04     (4,5,11)   5.8931e-03  1000   4.29842e-04
50     3.125000e-01   1.0000e+00   5.9681e-05    (10,5,11)   4.1639e-04   240   9.99393e-05
60     3.750000e-01   1.0000e+00   1.0261e-04     (8,4,10)   3.3525e-04   144   9.83414e-05
70     4.375000e-01   1.0000e+00   1.1976e-04     (3,5,10)   2.1703e-04   141   9.98330e-05
80     5.000000e-01   1.0000e+00   1.0459e-04     (3,4,11)   1.4691e-04   140   9.82117e-05
90     5.625000e-01   1.0000e+00   1.1529e-04     (3,4,11)   1.0430e-04   139   9.91932e-05
100    6.250000e-01   1.0000e+00   1.1227e-04     (3,4,11)   7.1415e-05   139   9.90530e-05
110    6.875000e-01   1.0000e+00   1.1210e-04     (3,4,11)   4.7615e-05   139   9.90658e-05
120    7.500000e-01   1.0000e+00   1.1355e-04     (3,5,10)   3.1695e-05   139   9.90458e-05
130    8.125000e-01   1.0000e+00   1.1158e-04     (3,5,10)   1.9628e-05   139   9.91073e-05
140    8.750000e-01   1.0000e+00   1.1339e-04     (3,5,10)   1.2955e-05   139   9.90426e-05
150    9.375000e-01   1.0000e+00   1.1187e-04     (3,4,11)   7.7940e-06   139   9.90834e-05
160    1.000000e+00   1.0000e+00   1.1298e-04     (3,5,10)   5.4928e-06   139   9.90390e-05
170    1.062500e+00   1.0000e+00   1.1220e-04     (3,4,11)   3.5723e-06   139   9.90619e-05
180    1.125000e+00   1.0000e+00   1.1269e-04     (3,4,11)   2.7066e-06   139   9.90431e-05
190    1.187500e+00   1.0000e+00   1.1240e-04     (3,5,10)   1.8956e-06   139   9.90525e-05
200    1.250000e+00   1.0000e+00   1.1254e-04     (3,5,10)   1.3924e-06   139   9.90472e-05
210    1.312500e+00   1.0000e+00   1.1248e-04     (3,5,10)   9.6779e-07   139   9.90493e-05
220    1.375000e+00   1.0000e+00   1.1249e-04     (3,5,10)   6.5633e-07   139   9.90490e-05
230    1.437500e+00   1.0000e+00   1.1250e-04     (3,4,11)   4.3889e-07   139   9.90485e-05
240    1.500000e+00   1.0000e+00   1.1248e-04     (3,5,10)   2.7338e-07   139   9.90494e-05
250    1.562500e+00   1.0000e+00   1.1250e-04     (3,4,11)   1.7891e-07   139   9.90485e-05
260    1.625000e+00   1.0000e+00   1.1248e-04     (3,5,10)   1.0604e-07   139   9.90493e-05
270    1.687500e+00   1.0000e+00   1.1250e-04     (3,5,10)   7.3482e-08   139   9.90487e-05
280    1.750000e+00   1.0000e+00   1.1249e-04     (3,4,11)   4.6731e-08   139   9.90491e-05
290    1.812500e+00   1.0000e+00   1.1249e-04     (3,5,10)   3.5701e-08   139   9.90488e-05
300    1.875000e+00   1.0000e+00   1.1249e-04     (3,4,11)   2.5050e-08   139   9.90490e-05
310    1.937500e+00   1.0000e+00   1.1249e-04     (3,5,10)   1.8783e-08   139   9.90489e-05
320    2.000000e+00   1.0000e+00   1.1249e-04     (3,4,11)   1.3185e-08   139   9.90490e-05
330    2.062500e+00   1.0000e+00   1.1249e-04     (3,4,11)   9.0961e-09   139   9.90490e-05
340    2.125000e+00   1.0000e+00   1.1249e-04     (3,5,10)   6.1190e-09   139   9.90489e-05
350    2.187500e+00   1.0000e+00   1.1249e-04     (3,5,10)   3.8474e-09   139   9.90490e-05
360    2.250000e+00   1.0000e+00   1.1249e-04     (3,5,10)   2.5024e-09   139   9.90489e-05
370    2.312500e+00   1.0000e+00   1.1249e-04     (3,4,11)   1.4680e-09   139   9.90490e-05
380    2.375000e+00   1.0000e+00   1.1249e-04     (3,5,10)   9.9580e-10   139   9.90489e-05
390    2.437500e+00   1.0000e+00   1.1249e-04     (3,4,11)   6.1600e-10   139   9.90490e-05
400    2.500000e+00   1.0000e+00   1.1249e-04     (3,4,11)   4.7177e-10   139   9.90490e-05
410    2.562500e+00   1.0000e+00   1.1249e-04     (3,4,11)   3.3079e-10   139   9.90490e-05
420    2.625000e+00   1.0000e+00   1.1249e-04     (3,5,10)   2.5365e-10   139   9.90490e-05
430    2.687500e+00   1.0000e+00   1.1249e-04     (3,4,11)   1.8044e-10   139   9.90490e-05
440    2.750000e+00   1.0000e+00   1.1249e-04     (3,5,10)   1.2747e-10   139   9.90490e-05
450    2.812500e+00   1.0000e+00   1.1249e-04     (3,5,10)   8.7362e-11   139   9.90490e-05
460    2.875000e+00   1.0000e+00   1.1249e-04     (3,4,11)   5.7135e-11   139   9.90490e-05
470    2.937500e+00   1.0000e+00   1.1249e-04     (3,4,11)   3.9142e-11   139   9.90490e-05
480    3.000000e+00   1.0000e+00   1.1249e-04     (3,5,10)   2.6475e-11   139   9.90490e-05
490    3.062500e+00   1.0000e+00   1.1249e-04     (3,4,11)   2.1349e-11   139   9.90490e-05
500    3.125000e+00   1.0000e+00   1.1249e-04     (3,4,11)   1.8208e-11   139   9.90490e-05
